Liabilities	Liabilities	Liabilities	Liabilities	Liabilities	Liabilities		
Mixed - mainly owner occupied	57	13	17	10	3		
Mixed - mainly tenanted	38	13	20	17	11		
Tenanted	23	13	18	20	26		
Gearing ratio by liabilities	Gearing ratio by liabilities	Gearing ratio by liabilities	Gearing ratio by liabilities	Gearing ratio by liabilities	Gearing ratio by liabilities		
	Liabilities						
Gearing Ratio	<£10,000	£10,000-<£50,000	£50,000-<£150,000	£150,000-<£400,000	£400,000+		
<5%	95	72	19	4	5		
5%-<10% (a)	5	13	32	14			
10%-<20%		10	25	39	21		
20%-<40%	0	3	15	25	43		
40%+	0	3	10	18	32		
Gearing ratio by net worth	Gearing ratio by net worth	Gearing ratio by net worth	Gearing ratio by net worth	Gearing ratio by net worth			
	Net Worth						
Gearing Ratio	<£250,000	£250,000-<500,000	£500,000-<£1,000,000	£1,000,000+			
<5%	23	44	58	56			
5%-<10%	11	9	16	15			
10%-<20%	15	18	12	18			
20%-<40%	17	15	11	10			
40%+	34	14	3	1			
Liquidity	Liquidity	Liquidity	Liquidity	Liquidity	Liquidity		
Average liquidity ratio by farm type	Average liquidity ratio by farm type	Average liquidity ratio by farm type					
Farm Type	Average liquidity (%)	95% Confidence Interval (%) (±)					
Dairy	143	21					
LFA Grazing Livestock	261	54					
Lowland Grazing Livestock	305	66					
Cereals	321	73					
General cropping	249	57					
Pigs&Poultry	175	36					
Mixed	289	61					
Horticulture	208	44					
Distribution of liquidity by farm type	Distribution of liquidity by farm type	Distribution of liquidity by farm type	Distribution of liquidity by farm type	Distribution of liquidity by farm type	Distribution of liquidity by farm type		
	Percentage of farm businesses						
	Liquidity 						
Farm Type	0-<60%	60%-<100%	100%-<140%	140%-<200%	200%+		
Dairy	11	23	10	15	40		
LFA Grazing Livestock	10	12	7	5	66		
Lowland Grazing Livestock	7	6	9	7	71		
Cereals	6	5	7	8	74		
General cropping	6	8	10	7	70		
Pigs & Poultry	16	10	11	11	52		
Mixed	5	6	11	11	67		
Horticulture	12	6	6	9	66		
