Year,Site code,Site name,Nation,Number of cases,"Surgery on day of, or day after, admission (n)","Surgery on day of, or day after, admission (d)","Surgery on day of, or day after, admission (%)",Surgery supervised by consultant surgeon and anaesthetist (n),Surgery supervised by consultant surgeon and anaesthetist (d),Surgery supervised by consultant surgeon and anaesthetist (%),General anaesthetic (n),General anaesthetic (d),General anaesthetic (%),General anaesthetic and nerve block (of all GA)(n),General anaesthetic and nerve block (of all GA) (d),General anaesthetic and nerve block (of all GA) (%),Spinal anaesthetic (n),Spinal anaesthetic (d),Spinal anaesthetic (%),Spinal anaesthetic and nerve block (of all SA) (n),Spinal anaesthetic and nerve block (of all SA) (d),Spinal anaesthetic and nerve block (of all SA) (%),Proportion of arthroplasties which are cemented (n),Proportion of arthroplasties which are cemented (d),Proportion of arthroplasties which are cemented (%),Eligible displaced intracapsular fractures treated with THR (n),Eligible displaced intracapsular fractures treated with THR (d),Eligible displaced intracapsular fractures treated with THR (%),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (n),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (d),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (%),Subtrochanteric fractures treated with an IM nail (n),Subtrochanteric fractures treated with an IM nail (d),Subtrochanteric fractures treated with an IM nail (%),NICE compliant surgery (n),NICE compliant surgery (d),NICE compliant surgery (%),Admitted to orthopaedic ward within 4 hours (n),Admitted to orthopaedic ward within 4 hours (d),Admitted to orthopaedic ward within 4 hours (%),Mental test score recorded on admission (n),Mental test score recorded on admission (d),Mental test score recorded on admission (%),Perioperative medical assessment (n),Perioperative medical assessment (d),Perioperative medical assessment (%),Physiotherapy assessment by the day after surgery (n),Physiotherapy assessment by the day after surgery (d),Physiotherapy assessment by the day after surgery (%),Mobilised out of bed by the day after surgery (n),Mobilised out of bed by the day after surgery (d),Mobilised out of bed by the day after surgery (%),Nutritional risk assessment (n),Nutritional risk assessment (d),Nutritional risk assessment (%),Delirium assessment (n),Delirium assessment (d),Delirium assessment (%),Not delirious when tested post-op. (n),Not delirious when tested post-op. (d),Not delirious when tested post-op. (%),Received falls assessment (n),Received falls assessment (d),Received falls assessment (%),Received bone health assessment (n),Received bone health assessment (d),Received bone health assessment (%),Met best practice criteria (n),Met best practice criteria (d),Met best practice criteria (%),Case ascertainment: total cases compared to last year (n),Case ascertainment: total cases compared to last year (d),Case ascertainment: total cases compared to last year (%),Acute length of stay (days),Overall hospital length of stay (days),Documented final discharge destination (n),Documented final discharge destination (d),Documented final discharge destination (%),Discharge to original residence within 120 days (n),Discharge to original residence within 120 days (d),Discharge to original residence within 120 days (%),Hip fractures which were sustained as an inpatient (n),Hip fractures which were sustained as an inpatient (d),Hip fractures which were sustained as an inpatient (%),Documented not to have developed a pressure ulcer (n),Documented not to have developed a pressure ulcer (d),Documented not to have developed a pressure ulcer (%),Documented not to have had a reoperation within 120 days (n),Documented not to have had a reoperation within 120 days (d),Documented not to have had a reoperation within 120 days (%),120 day follow up (n),120 day follow up (d),120 day follow up (%),Crude 30 day mortality rate (n),Crude 30 day mortality rate (d),Crude 30 day mortality rate (%),Adjusted 30 day mortality rate (%)
2022,CGH,Conquest Hospital,England,659,454,651,70,558,651,86,114,651,18,63,114,55,547,651,84,88,547,16,344,350,98,16,163,10,148,194,76,27,29,93,443,644,69,37,632,6,637,659,97,609,659,92,552,651,85,496,651,76,620,659,94,625,651,96,480,651,74,655,659,99,655,659,99,347,651,53,659,638,103,19,22,612,659,93,483,659,73,11,659,2,639,659,97,297,659,45,239,604,40,46,659,7,7
2022,COC,Countess of Chester Hospital,England,409,330,401,82,376,401,94,247,401,62,125,247,51,167,401,42,56,167,34,206,209,99,21,106,20,108,140,77,20,21,95,275,401,69,*,395,*,407,409,100,391,409,96,400,401,100,372,401,93,327,409,80,389,401,97,301,401,75,401,409,98,407,409,100,250,401,62,409,354,116,17,23,371,409,91,276,409,68,*,409,*,353,409,86,21,409,5,86,367,23,31,409,8,9
2022,HCH,County Hospital Hereford,England,455,293,439,67,295,439,67,258,439,59,204,258,79,193,439,44,16,193,8,224,224,100,24,163,15,18,44,41,10,11,91,274,438,63,13,441,3,452,455,99,451,455,99,439,439,100,438,439,100,454,455,100,438,439,100,350,439,80,455,455,100,455,455,100,292,439,67,455,385,118,13,21,429,455,94,318,455,70,11,455,2,454,455,100,0,455,0,0,426,0,36,455,8,8
2022,CMI,Cumberland Infirmary,England,498,245,486,50,483,486,99,268,486,55,225,268,84,219,486,45,105,219,48,253,265,96,35,106,33,133,146,91,16,16,94,376,483,78,57,340,17,476,498,96,*,498,*,460,486,95,420,486,86,472,498,95,437,486,90,304,486,63,496,498,100,497,498,100,0,486,0,498,500,100,15,24,474,498,95,378,498,76,23,498,5,476,498,96,172,498,35,150,441,34,32,498,6,6
2022,DVH,Darent Valley Hospital,England,315,202,315,64,163,315,52,141,315,45,34,141,24,145,315,46,11,145,8,158,170,93,13,65,20,66,81,82,20,23,87,226,314,72,*,304,*,307,315,98,281,315,89,303,315,96,230,315,73,315,315,100,305,315,97,238,315,76,313,315,99,315,315,100,171,315,54,315,287,110,17,18,265,315,84,229,315,73,*,315,*,315,315,100,0,315,0,0,300,0,13,315,4,4
2022,DAR,Darlington Memorial Hospital,England,338,190,325,59,221,325,68,115,325,35,99,115,86,212,325,65,164,212,77,163,165,99,*,61,*,87,122,71,13,14,93,234,323,72,16,326,5,329,338,97,314,338,93,318,325,98,261,325,80,331,338,98,316,325,97,202,325,62,334,338,99,337,338,100,170,325,52,338,349,97,8,18,324,338,96,228,338,68,*,338,*,331,338,98,115,338,34,100,312,32,24,338,7,7
2022,PLY,Derriford Hospital,England,563,175,558,31,559,558,100,345,558,62,238,345,69,223,558,40,100,223,45,229,324,71,22,140,16,128,146,88,17,20,85,318,551,58,10,542,2,550,563,98,461,563,82,525,558,94,496,558,89,512,563,91,503,558,90,383,558,69,548,563,97,557,563,99,140,558,25,563,574,98,18,25,485,563,86,364,563,65,15,563,3,552,563,98,0,563,0,247,509,49,29,563,5,6
2022,GGH,"Diana, Princess of Wales Hospital",England,257,212,253,84,253,253,100,173,253,68,35,173,20,81,253,32,*,81,*,128,147,87,29,70,41,60,70,86,33,33,100,169,236,72,16,250,6,256,257,100,230,257,90,252,253,100,151,253,60,257,257,100,254,253,100,249,253,98,248,257,97,253,257,98,191,253,76,257,315,82,11,11,217,257,84,174,257,68,*,257,*,232,257,90,0,257,0,72,245,29,9,257,4,7
2022,DID,Doncaster Royal Infirmary,England,562,256,552,46,408,552,74,168,552,30,45,168,27,396,552,72,162,396,41,234,285,82,20,121,17,103,127,81,18,22,82,321,536,60,47,525,9,528,562,94,274,562,49,544,552,99,446,552,81,529,562,94,435,552,79,339,552,61,352,562,63,559,562,100,100,552,18,562,450,125,17,21,537,562,96,465,562,83,14,562,3,555,562,99,0,562,0,214,511,42,47,562,8,8
2022,WDH,Dorset County Hospital,England,362,250,357,70,138,357,39,214,357,60,86,214,40,154,357,43,46,154,30,183,186,98,15,84,18,70,133,53,12,13,92,202,349,58,32,344,9,342,362,95,242,362,67,346,357,97,285,357,80,357,362,99,284,357,80,247,357,69,350,362,97,359,362,99,149,357,42,362,308,118,16,17,336,362,93,266,362,74,12,362,3,332,362,92,*,362,*,211,340,62,23,362,6,7
2022,ENH,East and North Herts Hospital,England,430,314,420,75,195,420,46,165,420,39,132,165,80,256,420,61,164,256,64,241,248,97,15,87,17,58,75,77,39,42,93,295,416,71,*,423,*,411,430,96,413,430,96,415,420,99,405,420,96,430,430,100,411,420,98,310,420,74,430,430,100,430,430,100,289,420,69,430,434,99,14,14,402,430,94,332,430,77,*,430,*,429,430,100,136,430,32,217,404,54,27,430,6,6
2022,ESU,East Surrey Hospital,England,543,128,539,24,11,539,2,358,539,66,233,358,65,210,539,39,68,210,32,275,299,92,43,139,31,78,126,62,*,*,*,348,536,65,14,533,3,536,543,99,533,543,98,536,539,99,427,539,79,522,543,96,528,539,98,393,539,73,539,543,99,540,543,99,120,539,22,543,510,107,20,20,406,543,75,300,543,55,*,543,*,422,543,78,205,543,38,179,491,37,41,543,8,7
2022,FRM,Frimley Park Hospital,England,498,252,486,52,438,486,90,80,486,17,61,80,76,425,486,87,315,425,74,226,229,99,38,111,34,70,169,41,*,*,*,303,481,63,17,471,4,467,498,94,453,498,91,481,486,99,354,486,73,488,498,98,474,486,98,398,486,82,493,498,99,495,498,99,220,486,45,498,489,102,19,28,490,498,98,420,498,84,19,498,4,493,498,99,274,498,55,251,452,56,28,498,6,6
2022,FGH,Furness General,England,184,114,181,63,43,181,24,60,181,33,12,60,20,120,181,66,16,120,13,50,81,62,9,21,43,20,36,56,11,19,58,78,164,48,39,175,22,171,184,93,126,184,69,163,181,90,117,181,65,174,184,95,176,181,97,130,181,72,173,184,94,184,184,100,68,181,38,184,129,143,26,30,171,184,93,138,184,75,*,184,*,140,184,76,*,184,*,0,167,0,10,184,5,7
2022,NUN,George Eliot Hospital,England,312,145,301,48,60,301,20,68,301,23,48,68,71,237,301,79,208,237,88,173,173,100,*,71,*,34,86,40,22,22,100,176,300,59,*,301,*,305,312,98,296,312,95,289,301,96,230,301,76,307,312,98,292,301,97,216,301,72,309,312,99,309,312,99,134,301,45,312,246,127,20,24,291,312,93,232,312,74,11,312,4,286,312,92,*,312,*,*,271,*,29,312,9,10
2022,CLW,Glan Clwyd Hospital,Wales,354,179,342,52,341,342,100,249,342,73,223,249,90,102,342,30,65,102,64,179,180,99,19,88,22,64,65,99,16,16,100,263,338,78,*,348,*,332,354,94,280,354,79,311,342,91,224,342,66,352,354,99,340,342,99,284,342,83,351,354,99,354,354,100,115,342,34,354,315,112,15,30,348,354,98,279,354,79,*,354,*,351,354,99,90,354,25,68,314,22,16,354,5,5
2022,GLO,Gloucestershire Royal Hospital,England,799,311,788,40,222,788,28,682,788,87,667,682,98,111,788,14,93,111,84,394,394,100,52,152,34,115,245,47,63,67,94,556,787,71,11,772,1,789,799,99,792,799,99,775,788,98,675,788,86,798,799,100,776,788,99,563,788,71,788,799,99,788,799,99,306,788,39,799,784,102,18,19,692,799,87,566,799,71,27,799,3,762,799,95,689,799,86,323,705,46,78,799,10,8
2022,HAR,Harrogate District Hospital,England,283,229,278,82,101,278,36,162,278,58,97,162,60,121,278,44,78,121,65,165,167,99,21,68,31,56,73,77,13,12,100,209,275,76,27,280,10,277,283,98,276,283,98,274,278,99,235,278,85,279,283,99,270,278,97,170,278,61,281,283,99,282,283,100,215,278,77,283,292,97,19,23,272,283,96,195,283,69,*,283,*,245,283,87,230,283,81,97,258,38,16,283,6,5
2022,HIL,Hillingdon Hospital,England,178,123,175,70,105,175,60,41,175,23,*,41,*,141,175,81,*,141,*,83,91,91,14,37,38,28,48,58,10,11,91,116,168,69,*,176,*,169,178,95,162,178,91,147,175,84,108,175,62,154,178,87,157,175,90,114,175,65,171,178,96,178,178,100,90,175,51,178,199,89,16,19,168,178,94,159,178,89,*,178,*,165,178,93,*,178,*,125,172,73,11,178,6,7
2022,HOM,Homerton Hospital,England,102,69,99,70,94,99,95,56,99,57,47,56,84,48,99,49,38,48,79,42,46,91,*,20,*,26,45,58,*,*,*,57,98,58,0,96,0,94,102,92,96,102,94,94,99,95,65,99,66,101,102,99,96,99,97,75,99,76,99,102,97,100,102,98,58,99,59,102,98,104,17,18,97,102,95,80,102,78,*,102,*,95,102,93,0,102,0,0,89,0,9,102,9,14
2022,HOR,Horton General Hospital,England,288,257,282,91,228,282,81,214,282,76,199,214,93,72,282,26,43,72,60,166,166,100,19,66,29,82,82,100,15,17,88,232,282,82,44,256,17,288,288,100,286,288,99,280,282,99,256,282,91,288,288,100,281,282,100,217,282,77,287,288,100,288,288,100,255,282,90,288,322,89,16,19,240,288,83,201,288,70,*,288,*,280,288,97,277,288,96,22,279,8,11,288,4,4
2022,HUD,Huddersfield Royal Infirmary,England,562,373,547,68,218,547,40,230,547,42,139,230,60,332,547,61,265,332,80,292,316,92,18,138,13,48,96,50,31,34,91,328,536,61,32,542,6,547,562,97,462,562,82,536,547,98,447,547,82,491,562,87,535,547,98,403,547,74,510,562,91,558,562,99,259,547,47,562,519,108,18,18,496,562,88,378,562,67,14,562,2,525,562,93,*,562,*,0,531,0,27,562,5,5
2022,HRI,Hull Royal Infirmary,England,674,358,660,54,315,660,48,339,660,51,140,339,41,338,660,51,131,338,39,332,340,98,41,131,31,152,191,80,22,25,88,509,660,77,33,621,5,663,674,98,595,674,88,645,660,98,624,660,95,666,674,99,616,660,93,455,660,69,656,674,97,662,674,98,305,660,46,674,668,101,18,19,647,674,96,496,674,74,47,674,7,255,674,38,267,674,40,443,594,75,54,674,8,8
2022,SCM,James Cook University Hospital,England,475,322,464,69,423,464,91,325,464,70,112,325,35,164,464,35,66,164,40,255,256,100,23,99,23,136,158,86,20,21,95,356,460,77,37,455,8,458,475,96,465,475,98,447,464,96,307,464,66,463,475,98,428,464,92,341,464,74,467,475,98,463,475,98,280,464,60,475,473,100,14,22,439,475,92,325,475,68,20,475,4,277,475,58,0,475,0,98,441,22,24,475,5,6
2022,JPH,James Paget Hospital,England,453,288,444,65,119,444,27,218,444,49,171,218,78,238,444,54,109,238,46,201,233,86,23,91,25,92,137,67,14,15,100,302,444,68,31,446,7,443,453,98,447,453,99,416,444,94,350,444,79,448,453,99,437,444,98,352,444,79,449,453,99,452,453,100,259,444,58,453,453,100,16,19,414,453,91,335,453,74,*,453,*,431,453,95,207,453,46,185,420,44,38,453,8,7
2022,RAD,John Radcliffe Hospital,England,515,182,488,37,327,488,67,260,488,53,143,260,55,234,488,48,79,234,34,272,273,100,28,112,25,105,129,81,27,27,100,385,486,79,*,501,*,495,515,96,494,515,96,457,488,94,427,488,88,492,515,96,480,488,98,326,488,67,498,515,97,512,515,99,160,488,33,515,412,125,17,17,334,515,65,219,515,43,10,515,2,500,515,97,0,515,0,16,478,3,35,515,7,6
2022,KGH,Kettering General Hospital,England,359,217,352,62,93,352,26,251,352,71,39,251,16,108,352,31,10,108,10,179,185,97,*,80,*,97,121,80,16,21,76,244,352,69,52,346,15,357,359,99,335,359,93,348,352,99,287,352,82,353,359,98,336,352,96,261,352,74,355,359,99,358,359,100,185,352,53,359,400,90,17,17,326,359,91,267,359,74,12,359,3,208,359,58,350,359,98,0,329,0,29,359,8,10
2022,KCH,King's College Hospital,England,126,56,121,46,91,121,75,108,121,89,58,108,54,18,121,15,0,18,0,56,60,93,*,28,*,13,37,35,*,*,*,62,116,53,0,117,0,110,126,87,116,126,92,117,121,97,84,121,69,119,126,94,121,121,100,79,121,65,124,126,98,125,126,99,38,121,31,126,129,98,22,22,116,126,92,91,126,72,*,126,*,114,126,91,0,126,0,44,110,40,*,126,*,*
2022,KMH,Kings Mill Hospital,England,551,271,532,51,107,532,20,291,532,55,54,291,19,369,532,69,74,369,20,276,284,97,25,110,23,66,102,65,18,19,95,392,532,74,103,529,20,549,551,100,509,551,92,525,532,99,455,532,86,551,551,100,443,532,83,372,532,70,545,551,99,549,551,100,247,532,46,551,494,112,16,21,546,551,99,421,551,76,17,551,3,547,551,99,397,551,72,266,500,53,43,551,8,8
2022,KTH,Kingston Hospital,England,366,190,354,54,339,354,96,169,354,48,13,169,8,190,354,54,*,190,*,196,196,100,12,100,12,84,91,92,24,25,96,260,354,73,19,353,5,352,366,96,318,366,87,350,354,99,280,354,79,337,366,92,346,354,98,283,354,80,356,366,97,365,366,100,153,354,43,366,325,113,20,20,331,366,90,269,366,74,*,366,*,363,366,99,*,366,*,55,348,16,15,366,4,5
2022,LGI,Leeds General Infirmary,England,678,242,669,36,220,669,33,378,669,57,347,378,92,294,669,44,238,294,81,378,378,100,32,125,26,146,174,84,33,34,97,542,666,81,24,645,4,670,678,99,572,678,84,655,669,98,405,669,61,678,678,100,638,669,95,493,669,74,673,678,99,673,678,99,199,669,30,678,638,106,23,28,584,678,86,469,678,69,32,678,5,653,678,96,488,678,72,300,618,49,36,678,5,5
2022,LER,Leicester Royal Infirmary,England,926,440,915,48,426,915,47,183,915,20,146,183,80,734,915,80,553,734,75,463,476,97,27,197,14,218,324,67,37,40,93,606,910,67,*,900,*,914,926,99,841,926,91,914,915,100,740,915,81,925,926,100,907,915,99,656,915,72,917,926,99,917,926,99,408,915,45,926,827,112,17,25,886,926,96,742,926,80,20,926,2,909,926,98,0,926,0,0,864,0,54,926,6,6
2022,LGH,Leighton Hospital,England,335,181,326,56,321,326,99,301,326,92,208,301,69,30,326,9,14,30,47,164,170,97,11,48,23,73,94,78,20,23,87,246,309,80,10,323,3,320,335,96,226,335,68,252,326,77,220,326,68,227,335,68,280,326,86,241,326,74,293,335,88,333,335,99,77,326,24,335,216,155,18,24,271,335,81,184,335,55,11,335,3,326,335,97,0,335,0,0,311,0,21,335,6,6
2022,LIN,Lincoln County Hospital,England,437,261,422,62,402,422,95,153,422,36,31,153,20,271,422,64,55,271,20,198,229,87,32,106,30,90,127,71,17,18,94,276,417,66,15,424,4,430,437,98,379,437,87,418,422,99,319,422,76,430,437,98,412,422,98,308,422,73,394,437,90,434,437,99,204,422,48,437,424,103,17,17,401,437,92,333,437,76,11,437,3,429,437,98,405,437,93,71,403,18,29,437,7,9
2022,LDH,Luton & Dunstable Hospital,England,375,292,368,79,126,368,34,193,368,52,164,193,85,177,368,48,26,177,15,168,173,97,46,94,49,127,147,86,18,19,90,293,366,80,29,365,8,371,375,99,362,375,97,365,368,99,265,368,72,361,375,96,352,368,96,318,368,86,371,375,99,372,375,99,267,368,73,375,311,121,18,18,336,375,90,280,375,75,*,375,*,339,375,90,0,375,0,0,353,0,25,375,7,8
2022,MAC,Macclesfield District General Hospital,England,304,158,298,53,95,298,32,133,298,45,107,133,81,168,298,56,45,168,27,121,137,88,16,53,30,65,96,68,14,14,100,215,298,72,*,295,*,302,304,99,271,304,89,292,298,98,209,298,70,299,304,98,286,298,96,248,298,83,301,304,99,301,304,99,130,298,44,304,277,110,25,30,264,304,87,201,304,66,*,304,*,300,304,99,0,304,0,0,270,0,20,304,7,7
