,PUMA Number,PUMA Name,Latitude,Longitude,Elevation,Time Zone
1266,G32000403,Clark County (Central)--Greater North Las Vegas City PUMA,36.259,-115.124,607,-8
1267,G32000404,"Clark County (East)--Mesquite City, Sunrise Manor (North), Moapa Valley & Nellis AFB PUMA",36.377,-114.453,576,-8
1268,G33000100,Northern New Hampshire--Grafton & Coos Counties PUMA,44.331,-71.562,350,-5
1269,G33000200,"Lakes Region--Belknap, Carroll & Merrimack (Northern) Counties PUMA",43.725,-71.356,183,-5
1270,G33000300,"Strafford Region--Strafford, Rockingham (Northern) & Carroll (Southeastern) Counties PUMA",43.301,-71.041,147,-5
1271,G33000400,Central New Hampshire--Merrimack County (Central)--Concord City PUMA,43.256,-71.662,117,-5
1272,G33000500,Southwestern New Hampshire--Cheshire & Sullivan Counties PUMA,43.106,-72.24,403,-5
1273,G33000600,Hillsborough County (Western) PUMA,42.91,-71.81,438,-5
1274,G33000700,Outer Manchester City PUMA,43.122,-71.305,163,-5
1275,G33000800,Manchester City PUMA,42.985,-71.444,79,-5
1276,G33000900,Hillsborough County (Southeastern)--Greater Nashua City PUMA,42.764,-71.419,70,-5
1277,G33001000,Seacoast Region--Rockingham County (Southern)--Portsmouth City PUMA,42.942,-70.967,34,-5
1278,G34000903,Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs PUMA,40.568,-74.441,24,-5
1279,G34000904,Middlesex County (North Central)--Metuchen Borough PUMA,40.526,-74.365,35,-5
1280,G34000502,Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA,40.914,-74.204,44,-5
1281,G34000503,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA",41.078,-74.341,337,-5
1282,G34000601,Hudson County (Central)--Jersey City (North) PUMA,40.735,-74.052,33,-5
1283,G34000602,Hudson County (Central)--Jersey City (South) PUMA,40.697,-74.067,7,-5
1284,G34000701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns PUMA",40.787,-74.042,3,-5
1285,G34000703,"Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns PUMA",40.709,-74.11,0,-5
1286,G34000800,Hunterdon County PUMA,40.565,-74.912,199,-5
1287,G34000901,Middlesex County (Southeast) PUMA,40.359,-74.382,25,-5
1288,G34000902,Middlesex County (Southwest) PUMA,40.375,-74.52,34,-5
1289,G34000101,Atlantic County (East)--Atlantic City & Ventnor City PUMA,39.433,-74.43,0,-5
1290,G34000102,Atlantic County (Outside Somers Point City)--Pleasantville City & Hammonton Town PUMA,39.482,-74.737,8,-5
1291,G34000301,Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA,40.89,-74.017,33,-5
1292,G34000302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA",40.823,-74.086,2,-5
1293,G34000303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA",40.841,-73.994,28,-5
1294,G34000304,"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA",40.911,-74.109,17,-5
1295,G34000305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA",40.972,-73.97,10,-5
1296,G34000306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA",41.047,-74.186,118,-5
1297,G34000307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA",40.935,-74.048,14,-5
1298,G34000308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA",41.004,-74.079,77,-5
1299,G34000400,Passaic County (Southeast)--Paterson City PUMA,40.915,-74.163,32,-5
1300,G34000501,Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA,40.858,-74.143,35,-5
1301,G34001101,Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA,40.405,-73.932,0,-5
1302,G34001102,Monmouth County (Southwest)--Freehold Borough PUMA,40.211,-74.417,86,-5
1303,G34001103,"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA",40.28,-74.026,16,-5
1304,G34001104,Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA,40.394,-74.046,52,-5
1305,G34002101,Camden County (North)--Camden & Gloucester Cities PUMA,39.944,-75.086,8,-5
1306,G34002102,Camden County (Central)--Lindenwold & Collingswood Boroughs PUMA,39.847,-75.012,20,-5
1307,G34002103,Camden County (South & West)--Bellmawr & Pine Hill Boroughs PUMA,39.738,-74.916,44,-5
1308,G34002104,Camden County (East Central)--Haddonfield Borough PUMA,39.883,-74.987,26,-5
1309,G34002201,Gloucester County (Northeast)--Woodbury City PUMA,39.799,-75.131,20,-5
1310,G34001404,Essex County (Southwest) PUMA,40.778,-74.305,97,-5
1311,G34001501,Morris County (North)--Dover Town & Kinnelon Borough PUMA,40.971,-74.482,277,-5
1312,G34001502,Morris County (West) PUMA,40.819,-74.69,252,-5
1313,G34001503,Morris County (East)--Lincoln Park Borough PUMA,40.887,-74.39,94,-5
1314,G34001504,"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs PUMA",40.758,-74.462,104,-5
1315,G34001600,Sussex County PUMA,41.137,-74.692,188,-5
1316,G34001700,Warren County PUMA,40.854,-75.01,309,-5
1317,G34001800,Union County (Northeast)--Elizabeth City PUMA,40.666,-74.194,3,-5
1318,G34001901,Union County (North Central)--Roselle Park Borough PUMA,40.69,-74.262,15,-5
1319,G34001902,Union County (Northwest)--Summit City & Westfield Town (North) PUMA,40.693,-74.364,114,-5
1320,G34001903,Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA,40.629,-74.376,43,-5
1321,G34002001,Burlington County (North)--Burlington City PUMA,40.065,-74.865,7,-5
1322,G34001105,Monmouth County (Northwest)--Keansburg Borough PUMA,40.409,-74.162,34,-5
1323,G34001106,Monmouth County (Central) PUMA,40.251,-74.208,41,-5
1324,G34001201,Ocean County (South) PUMA,39.735,-74.223,4,-5
1325,G34001202,Ocean County (Central)--Beachwood Borough PUMA,39.923,-74.17,6,-5
1326,G34001203,Ocean County (North Central) PUMA,40.058,-74.196,16,-5
1327,G34001204,Ocean County (Northwest) PUMA,40.039,-74.385,29,-5
1328,G34001205,Ocean County (Northeast)--Point Pleasant Borough PUMA,40.037,-74.099,3,-5
1329,G34001301,Essex County (Southeast)--Newark City (North & East) PUMA,40.723,-74.159,4,-5
1330,G34001302,Essex County (Southeast)--Newark City (Southwest) PUMA,40.727,-74.207,61,-5
1331,G34001401,Essex County (Northeast) PUMA,40.807,-74.173,28,-5
1332,G34001402,Essex County (South Central)--East Orange City PUMA,40.747,-74.243,70,-5
1333,G34001403,Essex County (Northwest) PUMA,40.853,-74.263,144,-5
1334,G34000905,Middlesex County (Northeast)--Carteret Borough PUMA,40.574,-74.277,13,-5
1335,G34002003,Burlington County (South & East) PUMA,39.842,-74.6,28,-5
