################################################################################,,,,,,,
#,,,,,,,
# Graph type: time series,,,,,,,
#,,,,,,,
# Database time resolution: 15 Minute,,,,,,,
#,,,,,,,
# 190101 00:00 - 200101 00:00,,,,,,,
#,,,,,,,
# Selected time series:,,,,,,,
# Metstation, Wind dir, 012[M], Value (Deg.M) (),,,,
# Metstation, Wind spee, 012[M], Value (m/s) (),,,,
# Metstation, Std wdir, 012[M], Value (deg.M) (),,,,
# Metstation, Temp, 002[M], Value (deg.C) (),,,,
# Metstation, Temp, 008[M], Value (deg.C) (),,,,
# Metstation, Glob. rad, 002[M], Value (W/m2) (),,,,
# Metstation, Rel hum, 002[M], Value (%RH) (),,,,
# Metstation, Diff temp, 008[M], Value (deg.C) (),,,,
,,,,,,,
,,,,,,,
,,,,,,,
, 012[M], 012[M], 012[M], 002[M], 008[M], 002[M], 002[M]
#, Wind dir, Wind spee, Std wdir, Temp, Temp, Glob. rad, Rel hum
23/11/2019 01:45,45.85,4.158,11.9,7.791,7.87,,94.2
23/11/2019 02:00,56.75,4.338,10.35,7.813,7.9,,94.3
23/11/2019 02:15,59.67,3.762,11.65,7.935,8.03,0.318,94.3
23/11/2019 02:30,66.12,3.977,15.26,8.063,8.2,0.299,93.9
23/11/2019 02:45,59.79,4.646,11.97,8.225,8.36,0.246,93.2
23/11/2019 03:00,66.2,4.557,15.93,8.35,8.45,0.197,92.9
23/11/2019 03:15,72.8,4.307,13.45,8.435,8.53,0.2,92.7
23/11/2019 03:30,67.49,3.794,14.43,8.494,8.58,0.2,92.7
23/11/2019 03:45,66.29,3.633,14.28,8.541,8.63,,92.4
23/11/2019 04:00,60.46,3.902,13.27,8.54,8.62,,92.2
23/11/2019 04:15,73,3.44,15.3,8.5669901,8.64999,,92.2
23/11/2019 04:30,73.9,3.855,16.01,8.638,8.73,,92
23/11/2019 04:45,66.5699,4.095,13.41,8.696,8.78,,92
23/11/2019 05:00,72,4.546,12.93,8.62801,8.74001,,92.5
23/11/2019 05:15,69.04,4.485,14.19,8.461,8.61,,93
23/11/2019 05:30,72.8,4.74,11.58,8.387,8.56,,93.5
23/11/2019 05:45,69.92,4.655,12.7,8.33101,8.49001,,94.1
23/11/2019 06:00,65.02,4.823,13.29,8.28701,8.43001,,94.5
23/11/2019 06:15,67.11,5.01,11.67,8.261,8.42,,94.9
23/11/2019 06:30,71,5.956,11.12,8.299,8.47,,95.1
23/11/2019 06:45,73,5.751,13.47,8.33499,8.50999,,95.3
23/11/2019 07:00,72,6.432,13.2,8.31799,8.50999,,95.4
23/11/2019 07:15,68.5,5.959,12.47,8.31199,8.50999,,95.6
23/11/2019 07:30,65.3101,5.505,15.17,8.292,8.5,,95.7
23/11/2019 07:45,66.4301,5.37,14.01,8.289,8.5,,95.8
23/11/2019 08:00,66.8,5.088,13.9,8.26901,8.49001,,95.8
23/11/2019 08:15,68.25,4.962,11.98,8.285,8.5,,95.9
23/11/2019 08:30,73.2,4.796,13.52,8.27301,8.49001,,96.1
23/11/2019 08:45,76.5,5.436,11.51,8.268,8.5,,96.1
23/11/2019 09:00,77.1,4.76,12.41,8.25999,8.50999,,96.2
23/11/2019 09:15,76.9,4.732,12.91,8.28,8.52,,96.3
23/11/2019 09:30,72.6,4.405,13.94,8.26699,8.50999,,96.4
23/11/2019 09:45,68.47,4.583,14.37,8.27199,8.50999,,96.6
23/11/2019 10:00,78.6,4.625,12.78,8.26299,8.50999,,96.7
23/11/2019 10:15,81.6,4.972,14.92,8.184,8.45,,96.6
23/11/2019 10:30,80.9,4.885,13.73,8.123,8.41,,96.6
23/11/2019 10:45,86.4,4.977,13.27,8.088,8.36,,96.6
23/11/2019 11:00,81.5,4.53,12.63,8.01699,8.28999,,96.6
23/11/2019 11:15,79,4.338,12.14,7.97,8.25,,96.6
23/11/2019 11:30,70.7,3.708,13.09,8.006,8.28,,96.8
23/11/2019 11:45,73.4,4.136,13.84,8.02599,8.28999,,96.8
23/11/2019 12:00,72.5,3.603,10.44,8.052,8.31,,96.8
23/11/2019 12:15,71.1,3.442,12.09,8.099,8.33,,96.9
23/11/2019 12:30,73.5,3.088,12.54,8.078,8.3,,97
23/11/2019 12:45,71.7,3.659,12.76,8.082,8.3,,97
23/11/2019 13:00,71.8,3.528,11.63,8.02601,8.24001,,97.1
23/11/2019 13:15,66.46,3.142,14.35,7.996,8.23,,97.2
23/11/2019 13:30,60.1,3.316,10.32,8.02299,8.25999,,97.3
23/11/2019 13:45,67.61,3.604,12.84,8.01001,8.24001,,97.4
23/11/2019 14:00,67.24,2.836,13.94,7.98,8.22,,97.4
23/11/2019 14:15,60.26,3.292,14.09,7.972,8.2,,97.4
23/11/2019 14:30,61.6,2.904,15.11,7.96,8.2,,97.5
23/11/2019 14:45,56.99,2.708,12.63,7.992,8.23,,97.6
23/11/2019 15:00,51.43,2.491,12.97,8.051,8.28,,97.6
23/11/2019 15:15,55.24,2.793,11.54,8.087,8.3,,97.6
23/11/2019 15:30,60.4,2.56,13.84,8.10801,8.32001,,97.7
23/11/2019 15:45,60.31,2.192,12.85,8.149,8.36,,97.7
23/11/2019 16:00,55.25,2.283,10.47,8.19299,8.39999,,97.8
23/11/2019 16:15,51.46,2.601,11.02,8.266,8.45,,97.8
23/11/2019 16:30,39.01,1.955,12.18,8.307,8.47,,97.8
23/11/2019 16:45,37.2,1.685,14.41,8.323,8.5,,97.9
23/11/2019 17:00,26.34,1.556,9.7,8.37699,8.53999,,98
23/11/2019 17:15,32.34,1.534,15.71,8.395,8.55,,98
23/11/2019 17:30,35.01,1.607,20.29,8.434,8.59,,98
23/11/2019 17:45,49.77,1.849,11.33,8.457,8.61,,98
23/11/2019 18:00,39.14,2.261,13.21,8.52,8.66,,98.1
23/11/2019 18:15,52.79,2.619,10.19,8.60201,8.74001,,98.2
23/11/2019 18:30,57.54,2.671,9.50999,8.665,8.81,,98.2
23/11/2019 18:45,64.76,2.531,12.54,8.676,8.83,,98.2
23/11/2019 19:00,79.9,3.367,12.55,8.706,8.86,,98.2
23/11/2019 19:15,105.3,3.692,9.59,8.616,8.78,,98.2
23/11/2019 19:30,96.6,3.031,10.92,8.508,8.7,,98.2
23/11/2019 19:45,101.4,3.327,13.06,8.455,8.67,,98.2
23/11/2019 20:00,103.2,3.189,10.86,8.401,8.63,,98.2
23/11/2019 20:15,103.5,2.729,10.2,8.34901,8.60001,,98.2
23/11/2019 20:30,89.7,1.405,12.54,8.296,8.58,,98.2
23/11/2019 20:45,70.9,1.279,12.75,8.30501,8.60001,,98.3
23/11/2019 21:00,70.3,1.223,9.42,8.314,8.61,,98.2
23/11/2019 21:15,73.9,0.796,9.19,8.27801,8.57001,,98.3
23/11/2019 21:30,67.05,0.859,12.06,8.23699,8.53999,,98.3
23/11/2019 21:45,59.65,1.564,12.65,8.254,8.53,,98.3
23/11/2019 22:00,64.34,1.566,13.66,8.188,8.45,,98.3
23/11/2019 22:15,59.59,1.003,10.93,8.101,8.37,,98.3
23/11/2019 22:30,74.6,0.526,8.99001,7.998,8.3,,98.3
23/11/2019 22:45,56.77,0.371,10.75,7.949,8.23,,98.3
23/11/2019 23:00,46.2,1.605,22.78,7.968,8.23,,98.4
23/11/2019 23:15,39.85,2.118,17.24,7.92801,8.18001,,98.4
23/11/2019 23:30,25.26,2.552,12.26,7.93701,8.18001,,98.4
23/11/2019 23:45,42.42,1.41,14.76,7.952,8.22,,98.4
24/11/2019 00:00,26.06,1.038,11.51,7.988,8.25,,98.4
24/11/2019 00:15,23.56,1.45,10.01,7.997,8.25,,98.4
24/11/2019 00:30,25.92,1.946,8.84,7.99501,8.24001,,98.4
24/11/2019 00:45,24.21,1.684,12.01,7.974,8.23,,98.4
24/11/2019 01:00,22.78,1.567,14.22,7.969,8.23,,98.4
24/11/2019 01:15,28.15,1.595,12.75,7.961,8.23,,98.4
24/11/2019 01:30,26.64,1.547,19.19,7.93301,8.21001,,98.3
24/11/2019 01:45,12.02,1.847,19.63,7.918,8.2,,98.4
24/11/2019 02:00,21.71,1.659,14.55,7.9,8.19,,98.4
24/11/2019 02:15,14.67,1.71,14.86,7.89401,8.18001,,98.4
24/11/2019 02:30,14.48,1.635,12.44,7.881,8.16,,98.4
24/11/2019 02:45,15.03,1.568,12.71,7.887,8.17,,98.4
24/11/2019 03:00,23.04,1.578,8.67,7.90901,8.18001,,98.4
24/11/2019 03:15,23.17,1.496,9.75,7.896,8.17,,98.4
24/11/2019 03:30,6.009,1.861,14.35,7.891,8.16,,98.4
24/11/2019 03:45,355.9,2.186,21.51,7.93401,8.21001,,98.4
24/11/2019 04:00,10.15,2.152,23.03,7.911,8.19,,98.4
24/11/2019 04:15,20.4,1.238,19.46,7.85,8.16,,98.3
24/11/2019 04:30,10.62,1.115,21.82,7.838,8.16,,98.4
24/11/2019 04:45,355,0.012,0.477,7.768,8.11,,98.4
24/11/2019 05:00,0.423,0.72,19.11,7.763,8.11,,98.3
24/11/2019 05:15,34.35,0.417,15.4,7.79501,8.10001,,98.4
24/11/2019 05:30,354.9,0.212,12.02,7.665,8.02,,98.4
24/11/2019 05:45,4.772,1.274,22.95,7.753,8.12,,98.3
24/11/2019 06:00,32.37,0.076,2.933,7.754,8.09,,98.3
24/11/2019 06:15,1.836,0.751,17.61,7.725,8.12,,98.2
24/11/2019 06:30,14.09,0.04,2.804,7.756,8.12,,98.3
24/11/2019 06:45,29.86,0.118,22.4,7.706,8.06,,98.4
24/11/2019 07:00,9.19,0.196,7.18,7.727,8.09,,98.3
24/11/2019 07:15,0,0,0,7.728,8.08,,98.4
24/11/2019 07:30,26.05,0.035,1.065,7.785,8.09,,98.4
24/11/2019 07:45,19.38,0.002,0.005,7.784,8.09,,98.4
24/11/2019 08:00,0,0,0,7.814,8.11,,98.4
24/11/2019 08:15,23.54,0.607,9.63,7.829,8.12,,98.4
24/11/2019 08:30,24.85,0.326,4.406,7.888,8.16,,98.4
24/11/2019 08:45,39.87,0.032,0.519,7.905,8.19,,98.3
24/11/2019 09:00,47.42,0.0880001,4.278,7.914,8.19,,98.4
24/11/2019 09:15,34.69,0.022,4.126,7.95301,8.24001,,98.4
24/11/2019 09:30,0,0,0,8.03001,8.32001,,98.4
24/11/2019 09:45,0,0,0,8.115,8.38,,98.3
24/11/2019 10:00,0,0,0,8.16999,8.39999,,98.4
24/11/2019 10:15,0,0,0,8.23199,8.39999,,98.4
24/11/2019 10:30,0,0,0,8.228,8.38,,98.4
24/11/2019 10:45,141.7,0.001,0,8.267,8.45,,98.4
24/11/2019 11:00,0,0,0,8.40801,8.57001,,98.4
24/11/2019 11:15,0,0,0,8.6349999,8.7,,98.3
24/11/2019 11:30,0,0,0,8.951,8.91,,98.3
24/11/2019 11:45,0,0,0,9.044,9.05,,98.3
24/11/2019 12:00,0,0,0,9.163,9.13,,98.3
24/11/2019 12:15,0,0,0,9.2000001,9.13,,98.3
24/11/2019 12:30,193.5,0.002,0.004,9.411,9.41,77,98.3
24/11/2019 12:45,155.7,0.422,7.56,9.63,9.61,106.1,98.3
24/11/2019 13:00,224.6,0.461,8.8,9.92899,9.78999,109.2,98.2
24/11/2019 13:15,235.4,1.234,11.09,9.156,9.38,72.4,98.1
24/11/2019 13:30,205.4,0.974,12.29,8.74,9.23,61.29,98
24/11/2019 13:45,176,0.248,6.63,8.748,9.31,63.87,97.7
24/11/2019 14:00,187.1,0.522,6.95,8.839,9.39,55.42,97.3
24/11/2019 14:15,167.7,0.425,8.12,8.84199,9.39999,34.21,97
24/11/2019 14:30,141.2,0.805,8.24001,8.985,9.39,36.03,96.2
24/11/2019 14:45,151.8,1.105,19.35,8.82601,9.24001,29.9,94.7
24/11/2019 15:00,182.7,0.717,5.832,8.716,9.2,22.54,92.9
24/11/2019 15:15,158.8,0.632,9.92,8.56699,9.14999,15.07,91.6
24/11/2019 15:30,168.2,1.068,12.05,9.00699,9.25999,6.238,91.7
24/11/2019 15:45,179,1.137,9.47,8.996,9.17,3.1,91.9
24/11/2019 16:00,137.4,1.426,8.61,8.94301,9.07001,1.182,92.7
24/11/2019 16:15,131.2,1.539,5.603,8.878,8.94,0.331,93.5
24/11/2019 16:30,134,1.885,6.816,8.7899999,8.86,0.204,93.9
24/11/2019 16:45,123.9,1.536,9.25,8.6870001,8.77,0.193,94
24/11/2019 17:00,119.1,1.782,8.33,8.587,8.69,0.199,94.3
24/11/2019 17:15,126.3,1.954,8.5,8.554,8.67,0.23,94.4
24/11/2019 17:30,120.4,1.835,7.4,8.539,8.64,0.198,94.5
24/11/2019 17:45,119.4,1.603,5.828,8.475,8.59,0.196,94.7
24/11/2019 18:00,120.3,1.631,6.127,8.45701,8.57001,0.199,94.9
24/11/2019 18:15,111.4,1.565,9.14,8.422,8.55,0.03,95
24/11/2019 18:30,124.5,2.203,10.76,8.363,8.5,0.129,95.1
24/11/2019 18:45,133,2.137,7.55,8.39199,8.50999,0.194,95.1
24/11/2019 19:00,119.5,1.887,11.34,8.368,8.48,0.2,95.1
24/11/2019 19:15,124.8,1.941,9.63,8.31001,8.43001,0.216,95.2
24/11/2019 19:30,124.4,1.602,9.71001,8.28701,8.43001,0.201,95.2
24/11/2019 19:45,128.9,1.714,9.36,8.269,8.42,0.202,95.4
24/11/2019 20:00,130.1,1.928,8.53,8.29001,8.43001,0.203,95.4
24/11/2019 20:15,124.7,2.425,10.06,8.30601,8.43001,0.203,95.5
24/11/2019 20:30,130.4,1.671,13.02,8.309,8.44,0.21,95.5
24/11/2019 20:45,91.6,1.065,12.96,8.34,8.47,0.203,95.6
24/11/2019 21:00,130.7,1.962,9.39999,8.29,8.44,0.203,95.8
24/11/2019 21:15,117.1,1.728,8.39,8.319,8.44,0.199,96
24/11/2019 21:30,118.9,2.422,7.91,8.383,8.48,0.212,96.5
24/11/2019 21:45,120.8,2.508,11.15,8.462,8.52,0.465,96.7
24/11/2019 22:00,126.8,1.666,17.42,8.47301,8.57001,0.548,96.9
24/11/2019 22:15,125.3,2.596,9.46001,8.549,8.62,0.559,97
24/11/2019 22:30,126,2.361,10.85,8.542,8.61,0.488,97.2
24/11/2019 22:45,122,2.149,12.68,8.564,8.63,0.511,97.3
24/11/2019 23:00,128.8,1.93,8.63,8.56599,8.64999,0.468,97.3
24/11/2019 23:15,126.7,1.682,15.89,8.534,8.66,0.416,97.4
24/11/2019 23:30,111,1.926,11.08,8.56801,8.68001,0.228,97.4
24/11/2019 23:45,122.2,2.214,11.9,8.60401,8.71001,0.412,97.5
25/11/2019 00:00,122,2.66,9.02,8.60801,8.71001,0.337,97.6
25/11/2019 00:15,116.1,2.559,9.83,8.594,8.69,0.365,97.6
25/11/2019 00:30,115.9,2.899,9.33,8.567,8.67,0.212,97.6
25/11/2019 00:45,120.9,2.651,9.27,8.548,8.66,0.226,97.6
25/11/2019 01:00,123.3,2.922,9.99001,8.584,8.7,0.287,97.7
25/11/2019 01:15,128.7,2.761,8.84,8.623,8.75,0.287,97.7
25/11/2019 01:30,126,3.069,8.08,8.668,8.78,0.263,97.6
25/11/2019 01:45,116.4,2.128,10.25,8.66,8.78,0.45,97.6
25/11/2019 02:00,121.3,2.02,9.09,8.651,8.77,0.448,97.6
25/11/2019 02:15,126.7,2.361,7.92,8.653,8.78,0.514,97.7
25/11/2019 02:30,122.1,2.496,9.58,8.692,8.81,0.597,97.7
25/11/2019 02:45,125,3.382,10.39,8.716,8.86,0.403,97.7
25/11/2019 03:00,122.8,3.049,8.67,8.735,8.88,0.399,97.8
25/11/2019 03:15,120.9,3.034,8.35001,8.77301,8.93001,0.484,97.8
25/11/2019 03:30,122.3,3.306,8.35001,8.782,8.94,0.452,97.9
25/11/2019 03:45,122.7,3.236,9.36,8.797,8.98,0.476,97.9
25/11/2019 04:00,125.5,3.668,9.93001,8.84399,9.03999,0.588,97.9
25/11/2019 04:15,126.1,4.04,10.02,8.868,9.09,0.851,97.9
25/11/2019 04:30,124.7,3.337,9.07001,8.876,9.11,0.989,97.8
25/11/2019 04:45,125.8,3.846,8.85001,8.783,9.06,,97.8
25/11/2019 05:00,125,3.824,8.28999,8.73699,9.00999,,97.6
25/11/2019 05:15,122.2,3.518,10.23,8.663,8.94,,97.5
25/11/2019 05:30,125.3,3.947,8.86,8.574,8.87,,97.3
25/11/2019 05:45,124.9,3.512,10.59,8.504,8.81,,97.1
25/11/2019 06:00,124.2,3.94,8.73,8.43101,8.74001,,96.9
25/11/2019 06:15,126.6,3.803,10.15,8.365,8.66,,96.8
25/11/2019 06:30,125.1,3.027,10.63,8.35,8.63,,96.7
25/11/2019 06:45,124.3,3.105,8.72,8.331,8.59,,96.7
25/11/2019 07:00,114.5,3.526,11.19,8.305,8.53,,96.6
25/11/2019 07:15,111.5,3.157,10.08,8.20299,8.39999,,96.5
25/11/2019 07:30,116,3.02,8.81,8.112,8.3,,96.5
25/11/2019 07:45,114,2.694,12.23,8.02901,8.21001,,96.6
25/11/2019 08:00,117,3.26,9.49001,7.97499,8.14999,,96.4
25/11/2019 08:15,123.3,3.293,8.35001,7.886,8.06,,96.6
25/11/2019 08:30,123.4,3.262,7.94,7.797,7.97,,96.6
25/11/2019 08:45,122.1,3.337,9.03999,7.741,7.93,,96.6
25/11/2019 09:00,124.1,3.033,9.93001,7.727,7.94,,96.8
25/11/2019 09:15,121.1,3.1,9.87,7.8,8.02,,96.8
25/11/2019 09:30,119.7,3.017,10.17,7.84401,8.07001,,96.8
25/11/2019 09:45,117.6,2.939,9.5,7.922,8.14,,96.8
25/11/2019 10:00,116.6,2.844,9.10001,7.953,8.17,,96.8
25/11/2019 10:15,112.3,2.765,10.19,7.873,8.12,,96.9
25/11/2019 10:30,105.2,3.369,9.07001,7.926,8.16,,97
25/11/2019 10:45,107.9,3.979,9.56,7.93301,8.21001,,97.2
25/11/2019 11:00,115.6,4.007,8.86,8.03801,8.32001,,97.4
25/11/2019 11:15,121.1,3.987,8.96001,8.09,8.37,,97.5
25/11/2019 11:30,119.9,4.324,9,8.164,8.41,,97.5
25/11/2019 11:45,121.2,3.847,9.25,8.209,8.45,,97.6
25/11/2019 12:00,120.8,3.804,7.78,8.26,8.5,,97.7
25/11/2019 12:15,120.7,3.411,8.83,8.27199,8.53999,,97.8
25/11/2019 12:30,109.9,4.049,10.98,8.43199,8.75999,,97.9
25/11/2019 12:45,118.9,3.901,11.22,8.566,8.89,,97.8
25/11/2019 13:00,132.1,3.109,11.43,8.63,8.92,,97.8
25/11/2019 13:15,122.5,3.185,10.71,8.67601,8.96001,,97.9
25/11/2019 13:30,128.3,3.524,9.66,8.76,9.05,,98
25/11/2019 13:45,124.7,3.527,9.94,8.939,9.23,,98
25/11/2019 14:00,121.6,3.203,9.02,9.11199,9.39999,,98
25/11/2019 14:15,125.2,3.432,9.34,9.029,9.38,,98
25/11/2019 14:30,130.9,3.418,9.28999,9.063,9.41,,98
25/11/2019 14:45,127.5,3.956,10.36,9.15799,9.50999,,98
25/11/2019 15:00,125.7,3.989,9.00999,9.177,9.55,,98.1
25/11/2019 15:15,127,3.674,8.99001,9.265,9.61,,98.2
25/11/2019 15:30,132.4,3.44,9.7,9.334,9.69,,98.1
25/11/2019 15:45,133.2,3.614,9.95,9.39,9.72,,98.2
25/11/2019 16:00,132.1,3.303,10.12,9.41401,9.74001,,98.2
25/11/2019 16:15,130.1,3.258,9.64,9.42699,9.75999,,98.2
25/11/2019 16:30,126.7,3.141,8.91,9.46799,9.78999,,98.3
25/11/2019 16:45,127.2,3.718,8.94,9.513,9.83,,98.3
25/11/2019 17:00,132.5,2.963,11.24,9.579,9.88,,98.3
25/11/2019 17:15,136,2.356,12.36,9.59499,9.89999,,98.3
25/11/2019 17:30,128.3,2.876,9.52,9.643,9.92,,98.4
25/11/2019 17:45,125.5,3.052,10.23,9.646,9.92,,98.4
25/11/2019 18:00,123.5,2.443,13.63,9.674,9.95,,98.5
25/11/2019 18:15,114.9,2.061,13.01,9.69301,9.96001,,98.4
25/11/2019 18:30,131.4,2.669,12.95,9.64401,9.93001,,98.5
25/11/2019 18:45,129.6,2.769,8.19,9.66601,9.93001,,98.5
25/11/2019 19:00,125.1,3.09,9.46001,9.686,9.94,,98.5
25/11/2019 19:15,135.6,3.017,10.88,9.747,10.01,,98.6
25/11/2019 19:30,136.1,2.693,9.37,9.798,10.04,,98.6
25/11/2019 19:45,135.8,2.624,9.64999,9.807,10.04,,98.6
25/11/2019 20:00,133.4,3.414,8.88,9.85,10.07,,98.6
25/11/2019 20:15,133.8,3.056,8.83,9.833,10.07,,98.6
25/11/2019 20:30,129.5,3.072,9.37,9.798,10.04,,98.6
25/11/2019 20:45,124.9,2.812,8.67,9.794,10.02,,98.6
25/11/2019 21:00,127.4,3.74,7.03,9.748,9.97,,98.6
25/11/2019 21:15,129.7,4.205,7.34,9.77601,9.99001,,98.8
25/11/2019 21:30,127.2,3.907,7.22,9.907,10.1,,98.7
25/11/2019 21:45,129.8,3.848,7.78,9.934,10.12,,98.7
25/11/2019 22:00,133.5,3.371,7.81,9.85,10.08,,98.7
25/11/2019 22:15,127.4,2.872,8.36,9.794,10.04,,98.7
25/11/2019 22:30,123.5,2.322,9.46001,9.796,10.03,,98.7
25/11/2019 22:45,126.9,2.718,7.99,9.796,10.03,,98.7
25/11/2019 23:00,123,2.447,10.26,9.817,10.04,,98.7
25/11/2019 23:15,125.3,1.899,9.97,9.782,10.02,,98.7
25/11/2019 23:30,128.2,2.418,8.61,9.713,9.98,,98.8
25/11/2019 23:45,122.3,2.265,9.11,9.689,9.95,,98.7
26/11/2019 00:00,126.6,2.172,7.97,9.66601,9.93001,,98.8
26/11/2019 00:15,131.1,2.392,6.095,9.642,9.91,,98.8
26/11/2019 00:30,133.8,2.204,7.73,9.617,9.88,,98.8
26/11/2019 00:45,133.9,2.333,8.91,9.609,9.88,,98.8
26/11/2019 01:00,132.3,2.038,8.21001,9.59,9.86,,98.8
26/11/2019 01:15,140.3,1.748,9,9.62899,9.89999,,98.8
26/11/2019 01:30,135.5,1.785,5.967,9.68,9.92,,98.8
26/11/2019 01:45,122,1.59,10.2,9.632,9.86,,98.8
26/11/2019 02:00,125.4,1.417,9.21001,9.59401,9.82001,,98.8
26/11/2019 02:15,139.3,1.754,6.021,9.623,9.86,,98.9
26/11/2019 02:30,144.4,1.552,6.374,9.725,9.95,,98.8
26/11/2019 02:45,136,1.402,11.42,9.695,9.91,,98.8
26/11/2019 03:00,129.5,1.488,9.92,9.618,9.81,,98.9
26/11/2019 03:15,140.9,1.416,6.377,9.58601,9.82001,,98.9
26/11/2019 03:30,148.3,1.448,7.79,9.63601,9.82001,,98.9
26/11/2019 03:45,150.3,1.473,8.22,9.616,9.84,,98.9
26/11/2019 04:00,150.6,1.395,9.21001,9.63401,9.82001,,98.9
26/11/2019 04:15,132.7,1.556,10.17,9.50199,9.64999,,98.9
26/11/2019 04:30,128.8,1.394,5.335,9.29601,9.43001,,98.9
26/11/2019 04:45,138.4,1.651,2.015,9.276,9.34,,98.9
26/11/2019 05:00,144.5,1.918,13.67,9.15,9.25,,99.1
26/11/2019 05:15,151.4,1.629,13.03,9.194,9.38,,98.9
26/11/2019 05:30,136.8,1.399,14.37,9.061,9.25,,99
26/11/2019 05:45,160,1.707,9.34,9.099,9.34,,99
26/11/2019 06:00,150.6,1.801,9.02,9.125,9.34,,99
26/11/2019 06:15,148.3,2.15,9.16,9.11401,9.35001,,99
26/11/2019 06:30,144.2,1.988,9.75,9.095,9.3,,99
26/11/2019 06:45,117.7,1.431,14.12,8.91,9.13,,99
26/11/2019 07:00,111.6,1.869,9.8,8.815,9,,98.9
26/11/2019 07:15,128,1.992,9.39999,8.685,8.87,,99
26/11/2019 07:30,116.1,1.905,10.8,8.56701,8.85001,,99
26/11/2019 07:45,118.4,2.1,11.97,8.639,8.89,,99
26/11/2019 08:00,132,2.881,9.14,8.532,8.8,,99
26/11/2019 08:15,138.5,2.715,9.7,8.52099,8.78999,,98.9
26/11/2019 08:30,143.6,2.86,10.37,8.592,8.86,,98.9
26/11/2019 08:45,134.6,2.896,10.56,8.83699,9.03999,,98.9
26/11/2019 09:00,126.6,2.745,10.78,9.003,9.11,,98.9
26/11/2019 09:15,128.3,2.608,8.98,8.872,9.08,,98.9
26/11/2019 09:30,131.1,2.579,9.74001,8.884,9.12,,98.9
26/11/2019 09:45,124.2,2.33,11.19,8.897,9.16,,98.7
26/11/2019 10:00,133.2,3.08,11.34,8.56901,8.99001,,98.8
26/11/2019 10:15,133.5,3.298,8.2,8.389,8.87,,98.7
26/11/2019 10:30,121,3.285,9.45,8.39701,8.85001,,98.6
26/11/2019 10:45,120.5,4.429,7.71,8.36001,8.82001,,98.6
26/11/2019 11:00,120.1,4.041,9.44,8.624,9.03,,98.5
26/11/2019 11:15,119.5,5.287,8.25999,8.66201,9.07001,,98.4
26/11/2019 11:30,126.6,5.642,9.13,8.656,9.12,,98.2
26/11/2019 11:45,125.7,4.883,10.34,8.722,9.19,,98.1
26/11/2019 12:00,125.3,4.986,9.49001,8.844,9.28,,98.1
26/11/2019 12:15,126.8,4.415,9.53999,8.989,9.39,,98.1
26/11/2019 12:30,130.2,4.281,10.37,9.092,9.47,,98.2
26/11/2019 12:45,135.4,3.954,11.08,9.184,9.59,,98.2
26/11/2019 13:00,140.6,4.309,10.26,9.40299,9.78999,,98.1
26/11/2019 13:15,143.7,4.814,9.27,9.501,9.84,,98.2
26/11/2019 13:30,143.2,4.583,8.82001,9.635,9.92,,98.2
26/11/2019 13:45,141.9,3.956,10.02,9.737,10.03,,98.2
26/11/2019 14:00,146.3,3.517,11.04,9.882,10.17,,98.2
26/11/2019 14:15,143.5,2.814,12.03,9.947,10.28,,98.1
26/11/2019 14:30,137.3,3.676,9.13,9.897,10.29,,98.2
26/11/2019 14:45,140.3,3.238,10.96,9.999,10.38,,98.3
26/11/2019 15:00,138.9,3.205,10.39,10.171,10.51,,98.2
26/11/2019 15:15,145.4,2.513,13.17,10.148,10.5,,98.3
26/11/2019 15:30,137.1,3.046,11.09,10.403,10.68,,98.2
26/11/2019 15:45,123.2,3.83,9.59,10.316,10.62,,98
26/11/2019 16:00,136,3.285,10.21,9.978,10.31,,98.1
26/11/2019 16:15,139.7,2.627,11.53,9.789,10.14,,98.1
26/11/2019 16:30,126.3,2.097,10.84,9.562,9.88,,98.1
26/11/2019 16:45,126.4,2.019,9.42,9.36799,9.64999,,98.1
26/11/2019 17:00,132.6,2.243,12.31,9.342,9.66,,98.2
26/11/2019 17:15,135.6,1.87,9.16,9.514,9.78,,98.2
26/11/2019 17:30,139.3,1.604,9.12,9.614,9.92,,98.2
26/11/2019 17:45,133.6,1.675,8.62,9.54,9.83,,98.2
26/11/2019 18:00,136.6,1.869,9.03,9.48899,9.75999,,98.3
26/11/2019 18:15,168.7,2.05,48.89,9.48799,9.78999,,98.4
26/11/2019 18:30,253.3,0.989,20.91,9.705,10.01,,98.2
26/11/2019 18:45,257.8,0.155,5.654,9.46101,9.82001,,98
26/11/2019 19:00,0,0,0,9.27,9.73,,98
26/11/2019 19:15,0,0,0,9.005,9.42,,97.9
26/11/2019 19:30,0,0,0,8.51601,8.85001,,97.9
26/11/2019 19:45,0,0,0,7.94,8.33,,97.9
26/11/2019 20:00,136.5,0.173,4.082,7.691,8.03,,97.8
26/11/2019 20:15,142.4,1.164,8.95,7.62,8.08,,98.3
26/11/2019 20:30,144.3,1.564,9.87,7.739,8.17,,98.1
26/11/2019 20:45,146.3,1.635,12.4,7.701,8.06,,98.1
26/11/2019 21:00,157.3,1.84,12.19,7.702,8.05,,98
26/11/2019 21:15,143.5,0.651,8.61,7.469,7.8,,98
26/11/2019 21:30,22.08,0.77,3.879,7.298,7.59,,98.1
26/11/2019 21:45,17.18,0.36,4.094,7.33,7.52,,97.9
