,,,,,,,
Table 6a,"Occupation and gender distribution of employees, December 2015",,,,,,
Size of the company,Occupation,Number of employees,,,,,
,,Male,Quality indicator,Female,Quality indicator,Total,Quality indicator
,,SUM,CV,SUM,CV,SUM,CV
,Professionals,"22,867",C,"13,827",C,"36,693",C
,Technical / Trades,"31,028",C,"7,406",D,"38,433",C
,"Marketing, sales and services","12,472",C,"14,622",C,"27,095",C
,Clerical / Administrative,"3,907",B,"8,755",B,"12,661",B
,Truck and bus drivers / Manual labourer with no trade certification,"1,138",E,117,C,"1,255",E
,Other Occupations,"6,535",B,"4,788",B,"11,320",B
Other,All occupations,"15,400",B,"14,300",B,"29,700",B
,Senior managers,X,X,X,X,"1,476",B
,Middle and other managers,"2,167",C,"1,477",C,"3,644",C
,Supervisors,384,C,310,C,694,C
,Professionals,"4,004",B,"3,528",B,"7,533",B
,Technical / Trades,"1,931",B,"1,043",C,"2,976",B
,"Marketing, sales and services","3,399",E,"3,406",E,"6,805",E
,Clerical / Administrative,639,C,"3,055",C,"3,694",C
,Truck and bus drivers / Manual labourer with no trade certification,855,E,223,E,"1,078",E
,Other Occupations,X,X,X,X,"1,760",D
,,,,,,,
,,,,,,,
"Note:
",,,,,,,
Totals and sub-totals have been rounded to the nearest hundredth.,,,,,,,
Components may not add up to the totals as a result of the rounding.,,,,,,,
,,,,,,,
Reliability Indicators,,,,,,,
Coefficient of variation (CV),,,Standard error (SE),,,,
,,,,,,,
A = 0.00% - 5.00%   excellent,,,A = 0.00% - 2.50%   excellent,,,,
B = 5.01% - 10.00%    very Good,,,B = 2.51% - 5.00%    very Good,,,,
C = 10.01% - 15.00%  good,,,C = 5.01% - 7.50%  good,,,,
D = 15.01% - 20.00%  acceptable,,,D = 7.51% - 10.00%  acceptable,,,,
E = 20.01 - 25.00%  use with caution,,,E = 10.01% - 12.50%  use with caution,,,,
F = Greater than 25.00%   too unreliable to be published,,,F = 12.51% or more  too unreliable to be published,,,,
,,,,,,,
Symbols:                      ,,,,,,,
 … not applicable,,,,,,,
x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,
,,,,,,,
Source:  ,"Federal Jurisdiction Workplace Survey, 2015",,,,,,
