Federal Jurisdiction Workplace Survey 2004 Table 3: Unionization (3),,,,,,,,,,
Area,Sector,Size, Number of employees working for companies (1) under federal jurisdiction ,Q, Number of employees unionized ,Q, Number of companies (1) under federal jurisdiction with unionized employees ,Q,,
,,100+ employees,16822,17.5%,7853,24.1%,13,13.4%,,
West and Territories,Total all sectors,Total all size categories,257632,13.5%,83383,32.0%,394,6.4%,,
,,1-5 employees,4488,4.8%,242,13.1%,137,12.2%,,
,,6-19 employees,9094,5.1%,383,16.9%,51,18.4%,,
,,20-99 employees,20252,6.6%,2727,16.0%,94,14.3%,,
,,100+ employees,223797,15.5%,80031,33.3%,112,9.2%,,
,Air transport,Total all size categories,33260,62.2%,20049,66.5%,55,14.7%,,
,,1-5 employees,696,9.3%,0,0.0%,0,0.0%,,
,,6-19 employees,1512,8.1%,74,37.1%,8,33.9%,,
,,20-99 employees,3379,10.6%,751,33.2%,21,25.2%,,
,,100+ employees,27674,74.7%,19224,69.4%,27,23.6%,,
,Rail transport,Total all size categories,26189,29.7%,21280,30.6%,12,16.5%,,
,,1-5 employees,...,...,...,...,...,...,,
,,6-19 employees,x,x,x,x,x,x,,
,,20-99 employees,...,...,...,...,...,...,,
,,100+ employees,x,x,x,x,x,x,,
,Road transport,Total all size categories,23179,8.1%,3487,19.3%,153,13.1%,,
,,1 employee,533,11.2%,33,26.4%,33,26.4%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,3524,10.6%,151,33.7%,24,34.6%,,
,,20-99 employees,8677,12.8%,980,27.6%,38,27.8%,,
,,100+ employees,x,x,x,x,x,x,,
,Maritime transport,Total all size categories,1873,13.4%,520,23.6%,71,12.8%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,707,10.9%,131,18.3%,16,16.8%,,
,,20-99 employees,830,29.9%,289,41.1%,11,38.3%,,
,,100+ employees,x,x,x,x,x,x,,
,Postal services and pipelines,Total all size categories,41610,56.4%,20574,105.9%,31,13.4%,,
,,1-5 employees,163,8.5%,21,17.7%,16,17.3%,,
,,6-19 employees,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,,
,,100+ employees,40617,57.9%,20516,106.2%,9,32.8%,,
,Banks,Total all size categories,69013,14.3%,64,38.0%,6,27.1%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,,
,,100+ employees,68623,14.4%,3,40.1%,3,40.1%,,
,"Feed, flour, seed and grain",Total all size categories,4833,39.3%,1191,50.5%,18,34.1%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,316,19.1%,27,61.7%,3,61.7%,,
,,20-99 employees,1131,28.5%,123,110.2%,3,110.2%,,
,,100+ employees,x,x,x,x,x,x,,
,Telecommunications and broadcasting,Total all size categories,47236,16.5%,15565,25.4%,40,12.6%,,
,,1-5 employees,323,13.0%,0,0.0%,0,0.0%,,
,,6-19 employees,807,12.8%,0,0.0%,0,0.0%,,
,,20-99 employees,4502,10.9%,486,30.5%,11,24.9%,,
,,100+ employees,41604,18.8%,15079,26.3%,29,15.1%,,
,Others: fisheries and mines,Total all size categories,10438,12.4%,653,30.0%,8,20.8%,,
,,1-5 employees,525,13.5%,0,0.0%,0,0.0%,,
,,6-19 employees,1854,10.6%,0,0.0%,0,0.0%,,
,,20-99 employees,822,9.8%,0,0.0%,0,0.0%,,
,,100+ employees,7238,17.7%,653,30.0%,8,20.8%,,
"Source: Statistics Canada, Small Business and Special Surveys Division: Federal Jurisdiction Workplace Survey 2004, Questions 5 and 6",,,,,,,,,,
Note: Employer survey - Data in this survey reflects the employer's perspective.,,,,,,,,,,
         The number of employees working in a company who are being offered a benefit is not necessarily equal to the number of employees using or receiving that benefit.,,,,,,,,,,
