Table 22  Number of Worksites in operation,,,,,,,,,,,
Regions,Sectors,Size,Number of worksites,CV,Total number of Employees on Sept 30th 2007,CV,,,,,
,,100+ employees,x,x,x,x,,,,,
Ontario,Total all sectors,Total all size categories,"9,865",17.5%,"304,009",14.0%,,,,,
,,1-5 employees,"1,181",16.9%,"3,150",14.9%,,,,,
,,6-19 employees,775,9.2%,"5,760",7.7%,,,,,
,,20-99 employees,"1,168",11.9%,"19,012",6.7%,,,,,
,,100+ employees,"6,740",25.3%,"276,087",15.4%,,,,,
,Air transport,Total all size categories,645,6.9%,"29,638",37.1%,,,,,
,,1-5 employees,109,11.1%,254,12.7%,,,,,
,,6-19 employees,130,11.6%,702,7.1%,,,,,
,,20-99 employees,212,12.0%,"2,064",7.3%,,,,,
,,100+ employees,193,17.2%,"26,617",41.4%,,,,,
,Rail transport,Total all size categories,129,19.9%,"9,381",23.5%,,,,,
,,1-5 employees,x,x,x,x,,,,,
,,6-19 employees,...,...,...,...,,,,,
,,20-99 employees,...,...,...,...,,,,,
,,100+ employees,x,x,x,x,,,,,
,Road transport,Total all size categories,"1,380",12.8%,"33,298",10.8%,,,,,
,,1 employee,268,35.5%,337,38.6%,,,,,
,,1-5 employees,464,34.0%,"1,419",27.5%,,,,,
,,6-19 employees,244,21.6%,"2,619",15.5%,,,,,
,,20-99 employees,360,9.5%,"9,079",11.8%,,,,,
,,100+ employees,312,21.1%,"20,181",17.9%,,,,,
,Maritime transport,Total all size categories,119,10.2%,"1,822",14.5%,,,,,
,,1-5 employees,27,12.4%,58,11.1%,,,,,
,,6-19 employees,14,41.7%,111,22.6%,,,,,
,,20-99 employees,25,18.6%,430,30.1%,,,,,
,,100+ employees,54,18.4%,"1,223",19.8%,,,,,
,Postal services and pipelines,Total all size categories,"3,175",48.5%,"59,833",45.2%,,,,,
,,1-5 employees,90,20.6%,204,14.8%,,,,,
,,6-19 employees,40,13.5%,181,10.8%,,,,,
,,20-99 employees,62,26.7%,369,19.5%,,,,,
,,100+ employees,"2,983",51.6%,"59,079",45.8%,,,,,
,Banks,Total all size categories,"2,314",30.6%,"86,974",27.8%,,,,,
,,1-5 employees,4,25.7%,18,21.5%,,,,,
,,6-19 employees,14,18.2%,126,18.1%,,,,,
,,20-99 employees,80,11.3%,"1,489",12.0%,,,,,
,,100+ employees,"2,216",32.0%,"85,341",28.4%,,,,,
,"Feed, flour, seed and grain",Total all size categories,435,8.3%,"4,950",8.4%,,,,,
,,1-5 employees,41,25.3%,90,40.4%,,,,,
,,6-19 employees,150,19.1%,911,12.7%,,,,,
,,20-99 employees,94,12.7%,"1,137",12.0%,,,,,
,,100+ employees,151,14.2%,"2,813",14.0%,,,,,
,Telecommunications and broadcasting,Total all size categories,918,18.2%,"49,946",34.9%,,,,,
,,1-5 employees,104,17.6%,267,20.4%,,,,,
,,6-19 employees,123,18.4%,767,11.7%,,,,,
,,20-99 employees,146,12.8%,"2,600",9.5%,,,,,
,,100+ employees,545,30.4%,"46,311",37.7%,,,,,
,Others: fisheries and mines,Total all size categories,750,23.8%,"28,166",23.4%,,,,,
,,1-5 employees,x,x,x,x,,,,,
,,6-19 employees,61,41.2%,342,27.1%,,,,,
,,20-99 employees,188,68.2%,"1,843",29.8%,,,,,
,,100+ employees,x,x,x,x,,,,,
West and Territories,Total all sectors,Total all size categories,"10,366",6.8%,"249,769",9.3%,,,,,
,,1-5 employees,"1,912",13.4%,"4,292",13.4%,,,,,
,,6-19 employees,"1,694",14.7%,"7,425",9.6%,,,,,
