,,,,,,,,
New Table 02,"Occupational distribution of employees in the federal jurisdiction by gender, employer size and industry, December 2015",,,,,,,
Size of the company,"Industry
",Occupation,Number of employees,,,,,
,,,Male,Quality indicator,Female,Quality indicator,Total,Quality indicator
,,,SUM,,SUM,,SUM,
,,Senior managers,77,B,41,B,118,B
,,Middle and other managers,57,B,48,B,105,B
,,Supervisors,28,B,23,C,51,B
,,Professionals,30,C,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,40,C,99,B,139,B
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,166,B
,Other,All occupations,X,X,X,X,X,X
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",0,,X,X,X,X
,,Clerical / Administrative,0,,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,0,,X,X
,,Other Occupations,0,,X,X,X,X
15 to 49 employees,All industries,All occupations,"30,700",B,"6,800",A,"37,600",B
,,Senior managers,"1,949",A,545,B,"2,494",A
,,Middle and other managers,"1,738",B,697,B,"2,434",B
,,Supervisors,"1,277",B,448,B,"1,724",B
,,Professionals,"1,129",C,256,C,"1,386",C
,,Technical / Trades,"3,204",A,414,C,"3,618",A
,,"Marketing, sales and services",876,D,620,D,"1,496",D
,,Clerical / Administrative,"1,217",C,"2,461",A,"3,678",B
,,Truck and bus drivers / Manual labourer with no trade certification,"16,915",B,702,C,"17,618",B
,,Other Occupations,"2,430",B,703,B,"3,132",B
,Air transportation,All occupations,"4,000",A,"1,100",A,"5,100",A
,,Senior managers,335,A,97,B,432,A
,,Middle and other managers,302,A,126,B,428,A
,,Supervisors,266,B,65,C,330,B
,,Professionals,440,B,32,C,473,B
,,Technical / Trades,"1,275",B,94,D,"1,369",B
,,"Marketing, sales and services",X,X,X,X,213,C
,,Clerical / Administrative,176,B,377,B,553,B
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,603,B
,,Other Occupations,550,B,136,C,686,B
,Rail transportation,All occupations,X,X,X,X,X,X
,,Senior managers,X,X,0,,X,X
,,Middle and other managers,0,,X,X,X,X
,,Supervisors,X,X,0,,X,X
,,Professionals,X,X,0,,X,X
,,Technical / Trades,X,X,0,,X,X
,,"Marketing, sales and services",X,X,0,,X,X
,,Clerical / Administrative,0,,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,0,,X,X
,,Other Occupations,X,X,X,X,X,X
,Road transportation,All occupations,"19,400",B,"2,500",B,"21,900",B
,,Senior managers,922,B,229,D,"1,151",B
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,13,C,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,709,D,"1,081",B,"1,790",C
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,876,D
,Maritime transportation,All occupations,"1,400",B,300,B,"1,700",B
,,Senior managers,107,B,27,C,133,B
,,Middle and other managers,X,X,X,X,155,C
,,Supervisors,80,C,22,D,101,C
,,Professionals,64,E,11,E,75,D
,,Technical / Trades,243,C,22,D,265,C
,,"Marketing, sales and services",X,X,23,E,X,X
,,Clerical / Administrative,X,X,X,X,173,C
,,Truck and bus drivers / Manual labourer with no trade certification,364,C,20,E,385,C
,,Other Occupations,X,X,X,X,X,X
,Postal and pipelines,All occupations,600,B,200,C,800,B
,,Senior managers,37,C,15,D,52,C
,,Middle and other managers,X,X,X,X,59,C
,,Supervisors,X,X,X,X,61,C
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,87,E
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,273,C,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Banks,All occupations,X,X,X,X,X,X
,,Senior managers,61,C,16,C,77,C
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,23,D,X,X
,,Technical / Trades,X,X,0,,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,131,C
,,Truck and bus drivers / Manual labourer with no trade certification,0,,0,,0,
,,Other Occupations,X,X,X,X,X,X
,"Feed, flour, seed and grain",All occupations,"1,500",C,400,D,"2,000",D
,,Senior managers,81,D,X,X,X,X
,,Middle and other managers,92,D,83,F,175,E
,,Supervisors,95,D,12,D,107,D
,,Professionals,14,E,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",138,E,X,X,X,X
,,Clerical / Administrative,45,D,180,D,226,D
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,"1,018",D
,,Other Occupations,X,X,X,X,X,X
,Telecommunications and broadcasting,All occupations,"2,900",A,"1,600",A,"4,500",A
,,Senior managers,290,A,87,B,378,A
,,Middle and other managers,269,A,108,B,377,A
,,Supervisors,159,A,93,A,253,A
,,Professionals,X,X,X,X,233,B
,,Technical / Trades,714,A,124,B,839,A
,,"Marketing, sales and services",342,B,308,B,651,A
,,Clerical / Administrative,181,B,450,A,631,A
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,206,C
