Federal Jurisdiction Workplace Survey 2008 Table 16b: Implementation of policy or program to improve working conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sectors,Working Conditions,Number of regional companies that have a policy or program in place,CV,Number of regional companies that plan to put in place in next 12 months,CV,Number of regional companies that have no plan to put in place in next 12 months,CV,Number of employees working for regional companies that have a policy or program in place,CV,Number of employees working for regional companies that plan to put in place in next 12 months,CV,Number of employees working for regional companies that have no plan to put in place in next 12 months,CV,,,,,,,,,,,,,,,,,,,,
,Child care support,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Options for employees on work schedules,59,17.3%,25,32.1%,338,8.1%,"109,154",32.7%,83,27.0%,"31,487",27.7%,,,,,,,,,,,,,,,,,,,,
,Prevention of harassment in the workplace,111,12.2%,12,21.1%,299,9.0%,"138,634",25.6%,406,52.2%,"1,683",13.9%,,,,,,,,,,,,,,,,,,,,
,Employee counselling services,63,14.3%,12,58.0%,347,8.0%,"137,995",25.8%,45,33.4%,"2,684",12.7%,,,,,,,,,,,,,,,,,,,,
,Diability management/return-to-work program,66,13.1%,13,52.9%,343,8.1%,"138,560",25.6%,64,26.1%,"2,100",11.4%,,,,,,,,,,,,,,,,,,,,
,Appeal process against decision related to harassment,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Appeal process against dismissal,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Dispute or grievance review process,65,19.1%,14,50.2%,344,7.9%,"131,223",27.3%,341,62.0%,"9,160",30.7%,,,,,,,,,,,,,,,,,,,,
Banks,Workplace health and safety,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Physical health or fitness promotion,81,4.6%,10,17.2%,50,6.2%,"187,443",14.9%,380,17.3%,"32,633",48.5%,,,,,,,,,,,,,,,,,,,,
,Mental or psychological health promotion,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Work-life balance,76,5.2%,7,19.0%,58,6.3%,"183,218",15.2%,298,17.4%,"36,940",43.2%,,,,,,,,,,,,,,,,,,,,
,Child care support,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Options for employees on work schedules,55,7.1%,18,13.1%,68,5.7%,"199,287",15.9%,"9,184",44.1%,"11,986",21.6%,,,,,,,,,,,,,,,,,,,,
,Prevention of harassment in the workplace,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Employee counselling services,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Diability management/return-to-work program,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Appeal process against decision related to harassment,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Appeal process against dismissal,48,7.7%,9,18.1%,85,4.8%,"190,767",16.2%,285,17.0%,"29,405",29.8%,,,,,,,,,,,,,,,,,,,,
,Dispute or grievance review process,63,6.0%,7,21.2%,72,5.3%,"208,924",15.1%,127,22.5%,"11,405",35.1%,,,,,,,,,,,,,,,,,,,,
