Federal Jurisdiction Workplace Survey 2004 Table 5: Number of employees by length of service with company (1) (3),,,,,,,,,,,,,,
Area,Sector,Size, Less than 1 year ,Q, 1 year or more but less than 5 years ,Q, 5 years or more but less than 10 years ,Q, 10 years or more ,Q, Total ,Q,,
,,100+ employees,4069,13.9%,5713,9.5%,2707,10.5%,3342,10.5%,15831,9.5%,,
,Maritime transport,Total all size categories,584,6.8%,1142,6.8%,1120,9.8%,1822,14.0%,4668,8.5%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,50,15.2%,109,11.5%,98,17.3%,90,16.7%,347,11.3%,,
,,20-99 employees,307,12.5%,711,9.9%,747,13.6%,840,10.3%,2605,8.7%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Postal services and pipelines,Total all size categories,1854,73.3%,4445,91.0%,6585,107.4%,10083,105.6%,22967,100.7%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,70,21.5%,159,17.8%,105,16.6%,22,38.4%,355,14.1%,,
,,20-99 employees,206,42.0%,302,34.5%,130,23.2%,66,26.7%,704,30.3%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Banks,Total all size categories,4154,28.5%,11770,22.4%,7003,21.4%,21154,23.8%,44081,23.3%,,
,,1-5 employees,...,...,...,...,...,...,...,...,...,...,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,...,...,...,...,...,...,...,...,...,...,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,"Feed, flour, seed and grain",Total all size categories,321,7.9%,1726,4.3%,752,4.5%,1474,4.9%,4273,4.1%,,
,,1-5 employees,5,25.4%,39,12.9%,28,13.2%,21,15.9%,93,10.6%,,
,,6-19 employees,160,10.2%,232,7.2%,166,7.9%,255,9.2%,814,6.7%,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Telecommunications and broadcasting,Total all size categories,7617,110.8%,15476,76.1%,6039,48.8%,5710,83.5%,34842,79.8%,,
,,1-5 employees,85,21.1%,244,13.3%,42,20.9%,203,13.3%,574,9.4%,,
,,6-19 employees,260,15.2%,580,10.7%,231,13.3%,371,13.1%,1443,8.1%,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Others: fisheries and mines,Total all size categories,356,7.5%,751,8.0%,392,9.9%,760,11.2%,2259,8.7%,,
,,1-5 employees,37,23.3%,72,15.4%,39,21.9%,43,20.1%,191,15.4%,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,161,9.1%,338,10.9%,142,12.3%,206,9.9%,847,9.4%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
Ontario,Total all sectors,Total all size categories,32622,19.4%,95871,21.5%,57897,25.1%,149345,29.2%,335735,23.9%,,
,,1-5 employees,835,10.9%,1035,7.6%,950,9.6%,916,8.9%,3736,5.0%,,
,,6-19 employees,2078,7.2%,3183,5.6%,1781,6.9%,1107,7.0%,8150,4.9%,,
,,20-99 employees,5219,6.8%,10305,5.4%,4879,7.4%,5145,6.9%,25548,5.0%,,
,,100+ employees,24490,25.9%,81349,25.4%,50287,28.9%,142176,30.7%,298302,26.9%,,
,Air transport,Total all size categories,2826,79.3%,8031,94.2%,4606,84.2%,16728,144.0%,32191,117.3%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,327,9.9%,456,10.1%,227,13.9%,214,14.6%,1224,8.5%,,
,,20-99 employees,688,15.2%,1466,15.8%,861,16.5%,601,22.3%,3615,13.9%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Rail transport,Total all size categories,x,x,x,x,x,x,x,x,x,x,,
,,1-5 employees,...,...,...,...,...,...,...,...,...,...,,
,,6-19 employees,...,...,...,...,...,...,...,...,...,...,,
,,20-99 employees,...,...,...,...,...,...,...,...,...,...,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Road transport,Total all size categories,6114,7.5%,12262,8.0%,7710,12.2%,12435,20.9%,38520,10.5%,,
,,1 employee,69,31.0%,84,30.2%,129,23.5%,134,21.2%,416,11.9%,,
,,1-5 employees,547,15.7%,440,14.7%,467,15.2%,384,14.6%,1838,8.1%,,
,,6-19 employees,982,12.3%,1358,10.2%,764,13.5%,313,18.6%,3417,9.4%,,
,,20-99 employees,2993,10.6%,4789,9.1%,2280,13.3%,2046,12.4%,12109,8.4%,,
,,100+ employees,1592,21.5%,5675,16.5%,4198,21.5%,9691,26.8%,21157,19.0%,,
,Maritime transport,Total all size categories,245,14.1%,874,20.9%,587,26.4%,411,20.7%,2117,17.2%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,39,26.2%,94,18.2%,39,21.3%,69,27.3%,241,20.7%,,
,,20-99 employees,153,17.1%,457,15.5%,256,32.5%,313,27.8%,1178,18.8%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Postal services and pipelines,Total all size categories,1639,61.3%,9674,91.8%,6365,74.5%,25965,101.9%,43643,94.0%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,66,10.2%,111,13.2%,102,9.4%,90,9.0%,369,8.2%,,
,,20-99 employees,272,15.6%,746,10.8%,241,12.3%,375,16.8%,1635,10.5%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Banks,Total all size categories,9046,33.1%,33893,32.2%,20458,32.9%,56120,31.0%,119517,31.1%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,115,20.5%,327,22.2%,282,19.5%,296,21.6%,1020,18.7%,,
,,100+ employees,8932,33.6%,33527,32.6%,20156,33.5%,55803,31.2%,118418,31.5%,,
,"Feed, flour, seed and grain",Total all size categories,185,13.4%,976,28.9%,460,15.8%,1030,11.4%,2651,17.6%,,
,,1-5 employees,23,16.2%,15,18.6%,9,24.9%,51,14.4%,98,11.3%,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,103,23.6%,316,20.2%,201,18.8%,470,24.0%,1090,18.8%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Telecommunications and broadcasting,Total all size categories,10223,48.9%,23049,56.2%,12662,89.2%,18435,94.2%,64369,68.1%,,
,,1-5 employees,52,32.2%,151,19.7%,136,28.2%,120,28.3%,459,14.4%,,
